File,Activity,Subject,Trial,A11,A12,A21,A22,A31,A32,A Diff,A Angle,B11,B12,B21,B22,B31,B32,B Diff,B Angle
a17_s2_t3_color.avi,a17,s2,t3,291.99243,212.03632,315.7553,179.8097,318.17203,107.40163,130.81429,145.507743530233,388.9855,237.02031,365.88373,244.37326,359.83978,244.48322,36.608627,163.386742668732
a17_s7_t1_color.avi,a17,s7,t1,303.5488,223.17888,311.72464,217.76552,322.18124,266.68524,62.13881,68.5562207668126,320.56842,217.05623,322.21872,208.88612,325.87183,256.26196,44.50914,15.8289617682928
a17_s7_t4_color.avi,a17,s7,t4,277.39282,200.95216,263.14853,218.71968,259.36606,224.80534,41.879944,173.143224469832,313.38004,214.83434,316.60526,214.5735,306.90332,183.0874,38.223648,77.497789150489
a17_s6_t3_color.avi,a17,s6,t3,389.01334,237.00574,368.18472,166.67915,309.76938,150.8042,165.4455,121.701221190158,559.9912,113.0066,560.0027,112.99797,560.0234,112.97871,0.060058594,173.987989442271
a17_s3_t2_color.avi,a17,s3,t2,388.98328,236.96884,336.94174,182.98694,293.43793,160.60645,171.90775,161.175045412705,559.97034,112.006645,560.0113,111.98697,560.00653,111.96649,0.07634735,102.573350008661
a17_s6_t1_color.avi,a17,s6,t1,388.97562,237.01299,377.81802,188.32352,319.58676,103.86855,202.5333,158.320883566525,559.97784,112.9953,559.9817,113.00215,560.0226,113.010445,0.059883118,130.767223336844
a17_s3_t4_color.avi,a17,s3,t4,389.0099,236.99968,370.91885,243.92313,338.60007,257.59155,71.00169,178.016998831212,560.0008,111.99984,559.99963,111.99397,560.0016,112.03567,0.036621094,8.49893687659142
a17_s1_t4_color.avi,a17,s1,t4,342.96976,282.90814,347.77063,278.56808,327.8125,238.97896,59.08644,105.35991294506,389.05435,237.02026,389.0184,237.02417,361.2871,244.01738,34.76436,172.047753037542
a17_s8_t4_color.avi,a17,s8,t4,389.00186,238.0132,389.0409,238.02686,334.49112,195.05022,97.473724,18.9484822235555,560.01764,113.04033,560.0031,113.01894,559.9819,113.01791,0.058189392,126.983886631987
a17_s4_t3_color.avi,a17,s4,t3,389.0376,238.01866,388.9991,238.0134,368.97815,247.76096,29.801743,146.250559940854,560.01025,113.03282,560.00604,113.01115,560.00653,113.017044,0.019500732,6.26247421807349
a17_s1_t1_color.avi,a17,s1,t1,389.014,237.0143,348.5586,189.8743,308.86984,169.24197,147.91649,158.103913276807,45.994377,162.9902,45.954643,162.98688,45.96028,162.95241,0.071891785,85.4960011386561
a17_s4_t2_color.avi,a17,s4,t2,341.14304,251.00859,343.36664,250.41946,334.27255,214.2241,43.65497,90.7355116364467,389.0254,237.99684,389.0207,238.01735,360.5286,247.18933,37.689285,120.75146046349
a17_s2_t1_color.avi,a17,s2,t1,38.98763,132.94574,39.009212,132.97968,549.0361,202.01517,579.11786,130.165535274064,278.05353,299.99637,292.59894,313.22873,39.019794,141.93285,397.09726,8.25413425456605
a17_s2_t2_color.avi,a17,s2,t2,389.02,237.01457,389.00113,236.98967,368.1215,244.03076,27.914688,108.503291800691,45.976814,162.9903,45.97932,163.04468,45.976883,163.05984,0.069618225,168.231161143454
a17_s2_t4_color.avi,a17,s2,t4,289.24683,210.98024,295.00812,228.8667,240.09425,317.92737,156.0997,130.488524785932,389.00107,236.98247,353.92093,243.8867,352.14816,244.0069,43.877335,172.744448432817
a17_s4_t4_color.avi,a17,s4,t4,388.99014,237.97821,382.12717,208.4327,358.44208,246.08688,38.65674,45.2475913516972,560.00665,112.99559,560.03,113.00791,559.983,112.99083,0.028442383,7.84219626421081
a17_s8_t2_color.avi,a17,s8,t2,389.00183,237.00745,390.301,236.49785,337.4755,198.29997,90.23381,57.2881407388877,40.015118,171.0007,39.977547,171.02005,39.94869,171.00067,0.066459656,118.870719736505
a17_s7_t3_color.avi,a17,s7,t3,296.81232,198.91809,305.5779,197.43274,309.15457,157.44835,53.811996,104.729136394153,273.72202,203.95094,281.0962,209.22856,265.6158,235.9558,40.111053,95.5115254787887
a17_s3_t1_color.avi,a17,s3,t1,300.96188,153.05573,302.8842,161.63142,284.6484,172.91232,36.170074,109.107096648125,389.0027,237.03262,390.34265,243.68546,381.11765,243.54066,14.393082,77.713042825735
a17_s7_t2_color.avi,a17,s7,t2,388.98163,237.99922,388.99664,237.98567,331.843,192.94003,102.19783,80.3077277514746,46.006535,162.99829,45.97754,163.01884,45.97487,163.01776,0.051136017,122.585825515457
a17_s5_t2_color.avi,a17,s5,t2,284.8847,168.98659,269.3024,167.59363,249.69952,190.795,56.99359,125.08621557892,389.01236,236.99435,373.43274,243.41797,373.35544,243.44365,22.106216,175.970518259644
a17_s1_t2_color.avi,a17,s1,t2,347.08594,249.93332,334.64584,249.2479,314.35724,184.16612,98.495895,110.468053510064,343.10022,282.88544,356.46902,266.63342,325.71347,247.68478,52.587402,82.1969146255288
a17_s5_t4_color.avi,a17,s5,t4,388.9749,237.00398,375.63037,226.7228,343.1618,241.84933,50.658463,117.407859505547,46.021145,163.02708,46.007202,163.00583,46.00415,163.04703,0.036937714,37.4996008007521
a17_s3_t3_color.avi,a17,s3,t3,535.0325,316.02942,534.9976,316.02856,38.97831,141.00043,671.0831,161.96834840524,44.951912,148.94984,45.005707,148.99629,594.0591,179.01154,579.1689,142.320991451152
a17_s4_t1_color.avi,a17,s4,t1,388.99945,238.00682,359.60788,177.8843,321.14667,208.46774,97.39186,77.5613194180735,560.01337,113.00335,560.02954,113.020676,560.02563,113.02074,0.029655457,47.864714754177
a17_s8_t1_color.avi,a17,s8,t1,547.98157,202.0013,547.96497,201.94955,109.94608,255.00282,491.03702,100.882723324846,354.02316,299.94687,387.66037,288.46286,547.9919,201.96346,291.95215,170.503315114387
a17_s8_t3_color.avi,a17,s8,t3,389.00674,237.99178,389.02594,237.98465,347.69196,169.04094,110.265625,79.4220922625822,45.998184,162.99774,46.00351,163.01794,45.99181,163.0513,0.05993271,145.904444447083
a17_s6_t4_color.avi,a17,s6,t4,388.9862,236.99838,364.74255,202.24197,359.90286,92.962944,173.11877,147.63888199899,39.9806,170.98608,39.991547,170.97578,39.98673,170.94737,0.044841766,123.627421489199
a17_s5_t1_color.avi,a17,s5,t1,111.12022,254.99834,111.04652,254.98923,594.07806,179.01709,558.9391,15.9845077439165,539.01196,112.98928,538.98975,113.00558,45.95751,175.0484,555.1136,150.911700936435
a17_s6_t2_color.avi,a17,s6,t2,538.98785,113.026695,539.00934,113.028946,45.972645,174.94748,554.936,13.138499820554,39.984356,170.99458,40.000072,170.98674,540.02075,133.98439,537.04663,157.711731322479
a17_s1_t3_color.avi,a17,s1,t3,345.283,282.9274,353.6702,276.06915,351.98782,234.14226,55.489975,126.975137861588,388.98856,237.02576,388.9997,236.99883,364.9148,243.39066,30.43866,52.6671527913991
a17_s5_t3_color.avi,a17,s5,t3,286.71512,169.05472,257.38995,182.3687,245.75273,220.65588,92.56355,131.325046887609,388.98978,237.01111,371.7085,239.57658,372.27795,239.38594,19.086655,10.0654210488218
a3_s2_t1_color.avi,a3,s2,t1,346.0209,251.01163,322.35715,207.1322,360.7101,237.65996,28.040878,23.1437518761703,389.01437,238.0357,347.48798,245.97122,370.4628,245.48743,26.003296,9.61219679988135
a3_s6_t4_color.avi,a3,s6,t4,319.99454,105.98712,322.56845,106.66665,321.30215,107.0055,2.3259964,29.7699239699132,560.0264,113.04135,560.0097,113.00764,559.9996,113.005356,0.06285095,129.071840154043
a3_s1_t2_color.avi,a3,s1,t2,358.86026,252.99413,326.57825,184.38217,327.2446,183.37195,101.23784,121.393795424325,346.84204,315.92184,350.63992,275.01718,350.06216,278.1276,41.014374,5.21821356661945
a3_s2_t4_color.avi,a3,s2,t4,388.99347,238.01471,312.92236,168.92847,316.1315,167.35756,143.51912,68.3273468662526,40.020336,171.96977,40.015213,172.00078,39.99532,171.97975,0.034996033,52.7963326380022
